mse,real_bit_rate,prior_bit_rate,whole_code_size,num_planes,lr,tau,reconst_ld
-21.620940862291835,2.0243506,0.4648421790510416,8,1,0.01,1,1000
-19.997899086063672,0.0,0.0,8,1,0.01,1,1000
-22.264658342245866,2.950178,0.6181129852026701,8,1,0.01,1,1000
-20.002437377556163,0.0,0.0,16,1,0.01,1,1000
-22.898973658892075,3.2883072,0.7597579940736294,16,1,0.01,1,1000
-22.881439801925843,2.8938456,0.7492155641913414,8,1,0.001,1,400
-24.609436091935937,3.7611475,1.1019086854934692,16,1,0.01,1,1000
-22.878081622268127,2.8353446,0.7454102466523648,8,1,0.001,1,400
-25.40560060060843,2.9750519,1.2607014448285103,8,1,0.01,5,400
-25.668617824465592,2.9864185,1.2887439551711082,8,1,0.01,5,400
-26.645348307027895,2.945609,1.499656704211235,8,1,0.01,5,400
-28.817664492352087,3.959454,1.9017804775476457,16,1,0.01,5,400
