mbytes_recived,mbytes_sent_to_worker,mse,mape%,mae,mbytes_sent_for_aggre,agent_id,round_id
0.02004528045654297,0.044425010681152344,0.01359101478010416,62.40625,0.0748371109366417,None,3,13
0.018260955810546875,0.044526100158691406,0.014668771997094154,62.34375,0.07605819404125214,None,4,13
0.021613121032714844,0.04449176788330078,0.01276498381048441,62.15625,0.0718606486916542,0.48531532287597656,0,14
0.020882606506347656,0.044487953186035156,0.01316662598401308,61.3125,0.0729765072464943,None,1,14
0.019985198974609375,0.044465065002441406,0.014527302235364914,68.4375,0.07788736373186111,None,2,14
0.021060943603515625,0.044585227966308594,0.015423694625496864,71.1875,0.08125142753124237,None,3,14
0.015370368957519531,0.04460334777832031,0.01714835874736309,69.625,0.08236685395240784,None,4,14
0.0878753662109375,0.08898353576660156,0.0006415591342374682,14.9140625,0.016308223828673363,0.48529911041259766,0,15
0.08915901184082031,0.08897590637207031,0.0005676370928995311,14.046875,0.01584615930914879,None,1,15
0.08284854888916016,0.08893013000488281,0.0007890266133472323,16.90625,0.018384380266070366,None,2,15
0.09254074096679688,0.08917045593261719,0.0005476191872730851,13.6328125,0.014597262255847454,None,3,15
0.10419940948486328,0.08920669555664062,0.00033838293165899813,10.2265625,0.01178714819252491,None,4,15
0.02092456817626953,0.04447174072265625,0.00707466434687376,48.65625,0.050639186054468155,0.4852867126464844,0,16
0.020745277404785156,0.04457569122314453,0.00731921661645174,47.875,0.05088520050048828,None,1,16
0.02010631561279297,0.04445171356201172,0.006991906091570854,47.75,0.0497867725789547,None,2,16
0.021139144897460938,0.044419288635253906,0.006919835228472948,47.75,0.04930993914604187,None,3,16
0.022462844848632812,0.04451274871826172,0.00738484924659133,47.8125,0.05148439109325409,None,4,16
0.021486282348632812,0.04446601867675781,0.0070772552862763405,51.21875,0.05142934247851372,0.485321044921875,0,17
0.019151687622070312,0.04476642608642578,0.007220900617539883,50.25,0.05172008275985718,None,1,17
0.02058124542236328,0.04461860656738281,0.007564209867268801,52.1875,0.05308784916996956,None,2,17
0.020315170288085938,0.04470252990722656,0.0072876811027526855,51.375,0.05215994641184807,None,3,17
0.02145671844482422,0.04457855224609375,0.007384574972093105,51.8125,0.05276491865515709,None,4,17
0.01998615264892578,0.04469490051269531,0.007293625269085169,54.625,0.05336940288543701,0.48528385162353516,0,18
0.019982337951660156,0.04467487335205078,0.007864922285079956,54.84375,0.05505353957414627,None,1,18
0.018526077270507812,0.044544219970703125,0.007871716283261776,57.03125,0.05474971979856491,None,2,18
0.021726608276367188,0.044709205627441406,0.007369094528257847,55.125,0.053856853395700455,None,3,18
0.021249771118164062,0.0445556640625,0.007550415582954884,56.0,0.053964775055646896,None,4,18
