round_id,client_id,codec_class_used,wmape,wmspe_sqrt,mse,mape,mspe_sqrt,w_mean_of_vec,model_size,compressed_bytes,basic_raw_bytes,compression_ratio,entropy_real_rate,global_eval_loss,global_eval_acc,global_eval_f1,global_eval_auc,train_loss,train_acc,train_f1,train_auc,test_loss,test_acc,test_f1,test_auc
4,3,identity,0.0,0.0,0.0,0.0,0.0,2.2352080122800544e-05,11181642,18.925490379333496,18.925490379333496,1.0,14.198140130045301,1.7715399120399098,0.4087661339889367,0.28981094408746755,0.7792835736292444,1.5276646614074707,0.5035833716392517,0.4200538396835327,0.8562958836555481,1.6050946712493896,0.46273815631866455,0.3575773537158966,0.8211681842803955
4,4,identity,0.0,0.0,0.0,0.0,0.0,2.2613767214352265e-05,11181642,18.93276309967041,18.93276309967041,1.0,14.203596216011924,1.7715399120399098,0.4087661339889367,0.28981094408746755,0.7792835736292444,1.4946458339691162,0.5132755637168884,0.42005670070648193,0.8630478382110596,1.5976433753967285,0.4658881425857544,0.3530791997909546,0.8225675225257874
5,0,identity,0.0,0.0,0.0,0.0,0.0,2.15355830732733e-05,11181642,18.89215087890625,18.89215087890625,1.0,14.173128418885169,1.6115256248439245,0.4679240934234788,0.36009504875481,0.8240815881520606,1.4006539583206177,0.5379470586776733,0.45986634492874146,0.8770207166671753,1.481062412261963,0.5018438696861267,0.40306100249290466,0.8503246903419495
5,1,identity,0.0,0.0,0.0,0.0,0.0,2.1670926798833534e-05,11181642,18.90000057220459,18.90000057220459,1.0,14.17901735720031,1.6115256248439245,0.4679240934234788,0.36009504875481,0.8240815881520606,1.3467273712158203,0.5725498199462891,0.5006405711174011,0.8918071985244751,1.4486067295074463,0.5207821130752563,0.42860448360443115,0.857178807258606
5,2,identity,0.0,0.0,0.0,0.0,0.0,2.1480300347320735e-05,11181642,18.89152431488037,18.89152431488037,1.0,14.17265836269843,1.6115256248439245,0.4679240934234788,0.36009504875481,0.8240815881520606,1.35004460811615,0.5667872428894043,0.4860954284667969,0.8886959552764893,1.4489963054656982,0.5174016356468201,0.4192957282066345,0.8577654361724854
5,3,identity,0.0,0.0,0.0,0.0,0.0,2.1724905309383757e-05,11181642,18.899919509887695,18.899919509887695,1.0,14.17895654323399,1.6115256248439245,0.4679240934234788,0.36009504875481,0.8240815881520606,1.3727474212646484,0.5636475086212158,0.48978930711746216,0.8866819143295288,1.4589462280273438,0.5148279070854187,0.41633227467536926,0.855720579624176
5,4,identity,0.0,0.0,0.0,0.0,0.0,2.1742253011325374e-05,11181642,18.90293598175049,18.90293598175049,1.0,14.181219538239553,1.6115256248439245,0.4679240934234788,0.36009504875481,0.8240815881520606,1.344793677330017,0.5722476243972778,0.4946683645248413,0.8906098008155823,1.4553335905075073,0.516940712928772,0.42160093784332275,0.8550693392753601
6,0,identity,0.0,0.0,0.0,0.0,0.0,2.0430701624718495e-05,11181642,18.850921630859375,18.850921630859375,1.0,14.142197720155949,1.4641216795321397,0.5210125998770744,0.42471363550074226,0.8581581799604573,1.2136777639389038,0.6145235896110535,0.5457210540771484,0.9107425212860107,1.320493221282959,0.5656499862670898,0.479288250207901,0.8827879428863525
6,1,identity,0.0,0.0,0.0,0.0,0.0,2.0591614884324372e-05,11181642,18.85920810699463,18.85920810699463,1.0,14.148414338430795,1.4641216795321397,0.5210125998770744,0.42471363550074226,0.8581581799604573,1.2138397693634033,0.6149331331253052,0.5523046851158142,0.912003219127655,1.3334765434265137,0.5597341656684875,0.4738388955593109,0.8803109526634216
6,2,identity,0.0,0.0,0.0,0.0,0.0,2.0313791537773795e-05,11181642,18.84804058074951,18.84804058074951,1.0,14.140036320247063,1.4641216795321397,0.5210125998770744,0.42471363550074226,0.8581581799604573,1.2233490943908691,0.6115623712539673,0.5459876656532288,0.9087063670158386,1.3359220027923584,0.5590811371803284,0.4729965329170227,0.8795005679130554
