round_id,client_id,codec_class_used,wmape,wmspe_sqrt,mse,mape,mspe_sqrt,w_mean_of_vec,model_size,compressed_bytes,basic_raw_bytes,compression_ratio,entropy_real_rate,global_eval_loss,global_eval_acc,global_eval_f1,global_eval_auc,train_loss,train_acc,train_f1,train_auc,test_loss,test_acc,test_f1,test_auc,bins_per_plane,prior_rate,marginal_rate
5,4,3-split,104.94754472091023,261.32295049365234,3.5208518323059934e-09,2023.6553192138672,26.87745690345764,2.270629738632124e-05,11181642,2.215121269226074,18.926029205322266,8.544014934195769,1.6618117446435863,2.374726869866536,0.13287492317148125,0.10681851069916834,0.5846785060669502,1.9324465990066528,0.3412053883075714,0.2414848506450653,0.7356115579605103,2.014503240585327,0.3129993975162506,0.20230887830257416,0.685192346572876,3,0.23845155537128448,1.5510644912719727
6,0,3-split,105.12578653032183,263.79101588054726,3.460508768426962e-09,1993.1650161743164,26.54358744621277,2.2300262571661733e-05,11181642,2.214125633239746,18.909361839294434,8.540329218638753,1.6610648060454807,2.33271730481003,0.15119852489244007,0.12295539505724992,0.6021335918068205,1.903872013092041,0.3566066026687622,0.26289987564086914,0.7492920756340027,1.9764461517333984,0.33297479152679443,0.22119928896427155,0.6991563439369202,3,0.23828279972076416,1.5501372814178467
6,1,3-split,105.14766901402099,263.0711347728454,3.46956308128199e-09,2011.3092422485352,26.63598656654358,2.239052082586568e-05,11181642,2.213503837585449,18.913185119628906,8.544455536277692,1.6605983271508782,2.33271730481003,0.15119852489244007,0.12295539505724992,0.6021335918068205,1.8935545682907104,0.35735735297203064,0.2595834732055664,0.7530129551887512,1.9750592708587646,0.3266364336013794,0.21419888734817505,0.7002741694450378,3,0.23108497262001038,1.5498507022857666
6,2,3-split,105.09418959143746,264.60457456442555,3.4922609248866365e-09,1996.2444305419922,26.57260000705719,2.2333459128276445e-05,11181642,2.2144336700439453,18.908217430114746,8.538624428402732,1.6612958991175,2.33271730481003,0.15119852489244007,0.12295539505724992,0.6021335918068205,1.8994499444961548,0.3592928946018219,0.25637564063072205,0.7459555864334106,1.9776878356933594,0.32959434390068054,0.21168318390846252,0.7012386918067932,3,0.23986029624938965,1.5501415729522705
6,3,3-split,105.26290395485964,266.9983115059394,3.515110202911842e-09,1986.8684768676758,26.46981179714203,2.2205520508578047e-05,11181642,2.2150697708129883,18.90457057952881,8.534526012961813,1.661773109888512,2.33271730481003,0.15119852489244007,0.12295539505724992,0.6021335918068205,1.9047642946243286,0.3535594940185547,0.24659395217895508,0.7405840754508972,1.9753541946411133,0.3274047374725342,0.21246515214443207,0.6992248892784119,3,0.24065010249614716,1.5496447086334229
6,4,3-split,105.03263204204258,264.0628651904943,3.4733851350665645e-09,1993.337631225586,26.555368304252625,2.23187125811819e-05,11181642,2.214090347290039,18.910712242126465,8.541075238990336,1.6610383340836703,2.33271730481003,0.15119852489244007,0.12295539505724992,0.6021335918068205,1.8855154514312744,0.3649580180644989,0.2650088369846344,0.7533947229385376,1.9803695678710938,0.32686692476272583,0.2100403755903244,0.699117124080658,3,0.23927012085914612,1.5503638982772827
7,0,3-split,105.24461049000442,265.67567310923255,3.506678281084419e-09,1992.4148559570312,26.550686359405518,2.2289286789600737e-05,11181642,2.2131662368774414,18.907008171081543,8.54296792352908,1.6603450548676124,2.2907704484924336,0.17140442532267977,0.13877123936263683,0.619596623989414,1.843127965927124,0.38199561834335327,0.287061870098114,0.7725220322608948,1.9149404764175415,0.35779041051864624,0.24380387365818024,0.7246028184890747,3,0.23558127880096436,1.5489702224731445
7,1,3-split,105.26390332517714,264.3010352424634,3.5529217345953157e-09,2024.7400283813477,26.78212821483612,2.255246181448456e-05,11181642,2.2135086059570312,18.916329383850098,8.545857618507629,1.6606019044430147,2.2907704484924336,0.17140442532267977,0.13877123936263683,0.619596623989414,1.855139970779419,0.3742833733558655,0.27939552068710327,0.7669068574905396,1.926026701927185,0.3473801612854004,0.2337976098060608,0.7214021682739258,3,0.22388623654842377,1.548935890197754
7,2,3-split,105.25395198206901,264.9153858873068,3.5169036571858214e-09,1999.5594024658203,26.630830764770508,2.238582237623632e-05,11181642,2.212890625,18.90937900543213,8.54510331048654,1.6601382873821215,2.2907704484924336,0.17140442532267977,0.13877123936263683,0.619596623989414,1.8461297750473022,0.38045185804367065,0.28051334619522095,0.7673400640487671,1.9315372705459595,0.34676551818847656,0.22932420670986176,0.7189834713935852,3,0.2306285798549652,1.5492390394210815
7,3,3-split,105.29417952059912,266.09489529915555,3.5292151423504947e-09,1997.8912353515625,26.579654216766357,2.2325568352243863e-05,11181642,2.2134761810302734,18.907367706298828,8.541934116272397,1.6605775788564863,2.2907704484924336,0.17140442532267977,0.13877123936263683,0.619596623989414,1.849919080734253,0.37294381856918335,0.26596277952194214,0.7627418041229248,1.9275234937667847,0.349531352519989,0.22940081357955933,0.7184808850288391,3,0.23550109565258026,1.5488578081130981
